,Dominant_Topic,Perc_Contribution
0,18.0,0.5364000201225281
1,0.0,0.8812000155448914
2,12.0,0.5932999849319458
3,4.0,0.3174000084400177
4,13.0,0.35679998993873596
5,18.0,0.7634999752044678
6,1.0,0.890500009059906
7,11.0,0.4275999963283539
8,16.0,0.5371000170707703
9,14.0,0.7098000049591064
10,4.0,0.4453999996185303
11,17.0,0.9269000291824341
12,6.0,0.515500009059906
13,13.0,0.39640000462532043
14,2.0,0.4864000082015991
15,4.0,0.5925999879837036
16,19.0,0.3508000075817108
17,18.0,0.600600004196167
18,10.0,0.6312000155448914
19,9.0,0.9136000275611877
20,3.0,0.6940000057220459
21,4.0,0.5638999938964844
22,16.0,0.7581999897956848
23,4.0,0.6200000047683716
24,17.0,0.34450000524520874
25,13.0,0.6306999921798706
26,3.0,0.7890999913215637
27,18.0,0.864300012588501
28,10.0,0.8762999773025513
29,13.0,0.5964000225067139
30,15.0,0.864300012588501
31,11.0,0.954800009727478
32,18.0,0.9366999864578247
33,4.0,0.5081999897956848
34,11.0,0.7080000042915344
35,4.0,0.4569000005722046
36,4.0,0.3212999999523163
37,17.0,0.3962000012397766
38,11.0,0.6126000285148621
39,8.0,0.557200014591217
40,3.0,0.31200000643730164
41,19.0,0.8944000005722046
42,1.0,0.7404999732971191
43,6.0,0.2732999920845032
44,8.0,0.5570999979972839
45,3.0,0.2662999927997589
46,17.0,0.8371000289916992
47,3.0,0.43779999017715454
48,9.0,0.864300012588501
49,12.0,0.6938999891281128
50,16.0,0.741100013256073
51,6.0,0.5788000226020813
52,13.0,0.36910000443458557
53,7.0,0.4311999976634979
54,13.0,0.625
55,8.0,0.5519000291824341
56,12.0,0.4223000109195709
57,13.0,0.6229000091552734
58,14.0,0.557200014591217
59,18.0,0.9136000275611877
60,19.0,0.4641000032424927
61,7.0,0.4311999976634979
62,13.0,0.2842000126838684
63,12.0,0.8100000023841858
64,7.0,0.6676999926567078
65,8.0,0.920799970626831
66,11.0,0.6485999822616577
67,0.0,0.7818999886512756
68,0.0,0.5115000009536743
69,18.0,0.864300012588501
70,18.0,0.5295000076293945
71,18.0,0.5249999761581421
72,2.0,0.574999988079071
73,4.0,0.967199981212616
74,13.0,0.6018999814987183
75,17.0,0.3828999996185303
76,4.0,0.8100000023841858
77,13.0,0.2842000126838684
78,10.0,0.6784999966621399
79,19.0,0.9320999979972839
80,11.0,0.8932999968528748
81,8.0,0.920799970626831
82,6.0,0.3930000066757202
83,19.0,0.864300012588501
84,15.0,0.3246000111103058
85,4.0,0.6230999827384949
86,18.0,0.864300012588501
87,12.0,0.3643999993801117
88,18.0,0.5295000076293945
89,18.0,0.5835000276565552
90,17.0,0.9320999979972839
91,0.0,0.3499999940395355
92,2.0,0.5751000046730042
93,18.0,0.3612000048160553
94,12.0,0.9405999779701233
95,14.0,0.44609999656677246
96,16.0,0.7803999781608582
97,19.0,0.6216999888420105
98,15.0,0.6158999800682068
99,14.0,0.6498000025749207
100,11.0,0.510699987411499
101,10.0,0.6833000183105469
102,18.0,0.8812000155448914
103,14.0,0.40529999136924744
104,10.0,0.7407000064849854
105,4.0,0.5249999761581421
106,16.0,0.4413999915122986
107,16.0,0.4867999851703644
108,7.0,0.400299996137619
109,18.0,0.8100000023841858
110,1.0,0.9635000228881836
111,6.0,0.6510000228881836
112,18.0,0.8812000155448914
113,4.0,0.9472000002861023
114,13.0,0.4862000048160553
115,10.0,0.949999988079071
116,8.0,0.920799970626831
117,18.0,0.864300012588501
118,19.0,0.8100000023841858
119,10.0,0.762499988079071
120,0.0,0.05000000074505806
121,16.0,0.3368000090122223
122,13.0,0.691100001335144
123,12.0,0.949999988079071
124,17.0,0.7775999903678894
125,4.0,0.967199981212616
126,2.0,0.6686000227928162
127,7.0,0.512499988079071
128,12.0,0.40619999170303345
129,12.0,0.35339999198913574
130,9.0,0.8302000164985657
131,3.0,0.7276999950408936
132,5.0,0.9049999713897705
133,13.0,0.5727999806404114
134,4.0,0.7847999930381775
135,11.0,0.5997999906539917
136,13.0,0.7179999947547913
137,18.0,0.6129999756813049
138,3.0,0.7049999833106995
139,1.0,0.901199996471405
140,18.0,0.4936000108718872
141,10.0,0.3790000081062317
142,18.0,0.84170001745224
143,4.0,0.779699981212616
144,11.0,0.7215999960899353
145,15.0,0.6531999707221985
146,18.0,0.3264000117778778
147,13.0,0.5095000267028809
148,12.0,0.5807999968528748
149,0.0,0.6420999765396118
150,13.0,0.7041000127792358
151,6.0,0.512499988079071
152,0.0,0.8141000270843506
153,14.0,0.762499988079071
154,12.0,0.435699999332428
155,7.0,0.6074000000953674
156,8.0,0.920799970626831
157,9.0,0.8944000005722046
158,4.0,0.6578999757766724
159,3.0,0.8108999729156494
160,19.0,0.6671000123023987
161,8.0,0.8044000267982483
162,6.0,0.4300000071525574
163,15.0,0.5544999837875366
164,9.0,0.4966000020503998
165,6.0,0.3619999885559082
166,4.0,0.6833000183105469
167,12.0,0.944100022315979
168,17.0,0.5582000017166138
169,9.0,0.5947999954223633
170,14.0,0.6305000185966492
171,2.0,0.618399977684021
172,18.0,0.505299985408783
173,4.0,0.4629000127315521
174,6.0,0.3492000102996826
175,13.0,0.7041000127792358
176,17.0,0.9366999864578247
177,5.0,0.613099992275238
178,4.0,0.36169999837875366
179,4.0,0.5723000168800354
180,12.0,0.44359999895095825
181,12.0,0.39640000462532043
182,13.0,0.8794000148773193
183,18.0,0.7524999976158142
184,12.0,0.9405999779701233
185,18.0,0.8100000023841858
186,6.0,0.5361999869346619
187,4.0,0.37689998745918274
188,12.0,0.48899999260902405
189,11.0,0.6830999851226807
190,7.0,0.38499999046325684
191,3.0,0.4449000060558319
192,1.0,0.8812000155448914
193,11.0,0.8456000089645386
194,12.0,0.5526999831199646
195,15.0,0.5774000287055969
196,19.0,0.5863000154495239
197,9.0,0.6582000255584717
198,2.0,0.5985000133514404
199,14.0,0.37630000710487366
200,12.0,0.54339998960495
201,4.0,0.489300012588501
202,4.0,0.7006000280380249
203,6.0,0.8312000036239624
204,0.0,0.6470000147819519
205,14.0,0.6765999794006348
206,10.0,0.920799970626831
207,12.0,0.6850000023841858
208,18.0,0.6360999941825867
209,17.0,0.8537999987602234
210,4.0,0.5544999837875366
211,10.0,0.864300012588501
212,17.0,0.8944000005722046
213,0.0,0.05000000074505806
214,8.0,0.5824000239372253
215,4.0,0.8029000163078308
216,16.0,0.5889000296592712
217,3.0,0.6093000173568726
218,6.0,0.2865000069141388
219,2.0,0.4366999864578247
220,6.0,0.35359999537467957
221,9.0,0.5483999848365784
222,9.0,0.5332000255584717
223,18.0,0.5295000076293945
224,6.0,0.5212000012397766
225,15.0,0.771399974822998
226,18.0,0.45339998602867126
227,19.0,0.7064999938011169
228,12.0,0.5435000061988831
229,7.0,0.5985000133514404
230,9.0,0.6133000254631042
231,4.0,0.9648000001907349
232,3.0,0.8172000050544739
233,5.0,0.79830002784729
234,17.0,0.7254999876022339
235,8.0,0.5083000063896179
236,8.0,0.920799970626831
237,15.0,0.84170001745224
238,10.0,0.6078000068664551
239,12.0,0.4223000109195709
240,12.0,0.4277999997138977
241,8.0,0.4397999942302704
242,13.0,0.6542999744415283
243,3.0,0.6819999814033508
244,18.0,0.8342000246047974
